grade,@search.score,normalized_pageview,tableCount,sectionCount,@search.features.body_en_us.uniqueTokenMatches,@search.features.body_en_us.similarityScore,@search.features.body_en_us.termFrequency,@search.features.description_en_us.uniqueTokenMatches,@search.features.description_en_us.similarityScore,@search.features.description_en_us.termFrequency,@search.features.keyPhrases_en_us.uniqueTokenMatches,@search.features.keyPhrases_en_us.similarityScore,@search.features.keyPhrases_en_us.termFrequency,@search.features.title_en_us.uniqueTokenMatches,@search.features.title_en_us.similarityScore,@search.features.title_en_us.termFrequency,@search.features.searchTerms.uniqueTokenMatches,@search.features.searchTerms.similarityScore,@search.features.searchTerms.termFrequency,@search.features.urlPath.uniqueTokenMatches,@search.features.urlPath.similarityScore,@search.features.urlPath.termFrequency,query_id,title_length_in_words,title_length_in_chars
10,0.3042735566860343,0.7807800632449918,0.41563422629818186,1.644368536763838,0.0,0.30427359451911906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.1895222157453642,-0.9835733673308722
8,0.5912697395679882,-1.47526936144686,-5.199337582605575,-5.199337582605575,0.0,0.5912697309974883,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.44730528078111165,0.02007444749317332
6,0.0,-1.116368890290762,0.41563422629818186,-1.0685216155658543,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.4878930103874749,-0.208504800392331
4,0.9999999999999999,-1.2420605724635014,-5.199337582605575,-1.0685216155658543,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.4878930103874749,-0.7039217888285133
3,0.24871086510940202,-1.280981397513278,-5.199337582605575,-1.0685216155658543,0.0,0.24871090177741517,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.44730528078111165,0.35749573205332313
2,0.0022963968030502158,0.2839366191845316,-5.199337582605575,1.2180019723677067,0.0,0.0022963916090532333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.1895222157453642,-0.9835733673308722
1,0.48908720067073086,-0.4417658421101638,1.1117020775386441,-0.06151263655249807,0.0,0.48908718995760636,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.199337582605575,-2.156674553626772
10,0.3883851375171872,-1.2696643851806635,-5.199337582605575,0.7799242980174864,0.0,0.6033241723535455,0.9803921568627451,1.0,0.3535534156636559,0.3333333333333333,0.0,0.6026255392832126,1.0,0.0,1.0,0.0,0.0,0.5155942978751095,0.8225806451612903,0.0,0.0,0.0,1,-1.7560546411295914,-1.6640817375143429
9,0.28040954851498645,0.5525368703489748,1.1117020775386441,-0.766391408313155,0.0,0.6578098345859164,0.5294117647058824,1.0,0.40406100286148067,0.3333333333333333,0.0,0.7077044371347755,0.49999999999999994,0.0,0.33333326525068374,0.0,0.0,0.41522669668212375,0.16129032258064518,0.0,0.0,0.0,1,-0.4878930103874749,-1.1400769252954
8,0.0,1.4729379626876022,-5.199337582605575,-5.199337582605575,0.0,0.34524165361644177,0.0,0.0,0.0,0.0,0.0,0.643026425747763,0.045454545454545456,0.0,0.33333326525068374,0.0,0.0,0.5657730873889321,0.3870967741935484,0.0,0.0,0.0,1,-1.1895222157453642,-1.7679032638816
7,0.35733957166219055,0.4247853894046485,-5.199337582605575,-0.766391408313155,0.0,0.32626348821189277,0.19607843137254902,1.0,0.5714285423543921,0.6666666666666666,0.0,0.38549518279269746,0.2727272727272727,0.0,0.33333326525068374,0.0,0.0,0.5163468302553166,0.25806451612903225,0.0,0.0,0.0,1,-0.7901683975457864,-1.397836528971104
6,0.45527353145432925,1.3219458408567006,-5.199337582605575,-0.06151263655249807,0.0,0.7606278886285464,0.47058823529411764,1.0,0.6123724443069558,1.0,0.0,0.4574203188406828,0.3181818181818182,0.0,0.33333326525068374,0.0,0.0,0.6417201863635568,1.0,0.0,0.0,0.0,1,-1.1895222157453642,-1.824555935803749
5,1.0,-0.00901393711149826,-5.199337582605575,0.5437891346358888,0.0,0.9999999999999999,0.6666666666666666,1.0,0.9999999999999999,0.6666666666666666,0.0,1.0,0.5454545454545455,0.0,1.0,0.0,0.0,1.0,0.04838709677419355,0.0,0.0,0.0,1,-1.7560546411295914,-2.0431151448021527
4,0.12790764751663408,0.5023951241543645,0.41563422629818186,1.39120205536241,0.0,0.0,0.3529411764705882,1.0,0.40406100286148067,0.3333333333333333,0.0,0.21435315335332306,0.45454545454545453,0.0,0.49509379406223974,1.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,1,0.16891199278645552,-0.7697613987560095
3,0.17115570922463297,0.7503034218116961,0.8607252382582696,0.2678837675840495,0.0,0.38209159549626204,0.43137254901960786,1.0,0.5050762790167578,0.3333333333333333,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.3052370511796837,0.24193548387096775,0.0,0.0,0.0,1,-0.14477960565136005,-1.0663039018153317
2,0.4906291676001717,-1.7619480328408437,-5.199337582605575,-0.4183712879116543,0.0,0.5940777801348959,0.058823529411764705,1.0,0.6060915348201092,0.3333333333333333,0.0,0.26248677660465136,0.0,0.0,0.33333326525068374,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-0.7901683975457864,-0.634851110209644
1,0.2537944541690387,0.8735150946146939,0.41563422629818186,1.8179677041735673,0.0,0.37301070475981624,1.0,1.0,0.5714285423543921,0.6666666666666666,0.0,0.3182155065691862,0.7727272727272728,0.0,0.023689051561032848,1.0,0.0,0.32672694001542657,0.3709677419354839,0.0,0.0,0.0,1,1.4903351443303179,0.9051888168927786
10,0.9767953527679074,1.3219458408567006,-5.199337582605575,-0.06151263655249807,0.0,0.9999999999999999,0.20833333333333331,1.0,0.619337263656301,1.0,0.0,0.7843572104672693,0.21621621621621623,1.0,0.9030376821456881,0.3333333333333333,0.0,1.0,0.5249999999999999,1.0,1.0,0.5,2,-1.1895222157453642,-1.824555935803749
9,1.0,0.8153314761541857,-5.199337582605575,0.5437891346358888,0.0,0.5289590094234918,0.9999999999999999,1.0,1.0,0.25,0.0,0.5450353705081338,1.0,1.0,0.9030376821456881,0.3333333333333333,0.0,0.7097669568757239,0.08333333333333334,1.0,0.7999999917291961,0.5,2,-1.1895222157453642,-1.824555935803749
8,0.0,-1.2696643851806635,-5.199337582605575,0.7799242980174864,0.0,0.5558833993499798,0.41666666666666663,0.0,0.05128662655519034,0.0,0.0,0.7300426525692943,0.7027027027027026,0.0,0.43338288895050503,0.0,0.0,0.3274037405574728,0.275,0.0,0.0,0.0,2,-1.7560546411295914,-1.6640817375143429
